economy,series,Country,Series,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
EGY,SP.POP.TOTL,"Egypt, Arab Rep.","Population, total",97528654.0,99597342.0,101644589.0,103696057.0,105682094.0,107553158.0,109315124.0,110957008.0,112618250.0,114535772.0
ECU,SP.POP.TOTL,Ecuador,"Population, total",16035124.0,16266225.0,16505139.0,16759519.0,17049547.0,17340021.0,17546065.0,17682454.0,17823897.0,17980083.0
DOM,SP.POP.TOTL,Dominican Republic,"Population, total",10315528.0,10434829.0,10551430.0,10666843.0,10782053.0,10894043.0,11008300.0,11123476.0,11230734.0,11331265.0
DMA,SP.POP.TOTL,Dominica,"Population, total",70373.0,70410.0,69606.0,68496.0,68174.0,67880.0,67573.0,67202.0,66826.0,66510.0
DJI,SP.POP.TOTL,Djibouti,"Population, total",1002717.0,1020313.0,1037653.0,1054841.0,1071882.0,1088709.0,1105188.0,1121248.0,1137096.0,1152944.0
DNK,SP.POP.TOTL,Denmark,"Population, total",5643475.0,5683483.0,5728010.0,5764980.0,5793636.0,5814422.0,5831404.0,5856733.0,5903037.0,5946952.0
CZE,SP.POP.TOTL,Czechia,"Population, total",10525347.0,10546059.0,10566332.0,10594438.0,10629928.0,10671870.0,10697858.0,10505772.0,10672118.0,10864042.0
CYP,SP.POP.TOTL,Cyprus,"Population, total",1201801.0,1219502.0,1237112.0,1254275.0,1270737.0,1286671.0,1302247.0,1317309.0,1331370.0,1344976.0
CUW,SP.POP.TOTL,Curacao,"Population, total",155909.0,157980.0,159664.0,160175.0,159336.0,157441.0,154947.0,152369.0,149996.0,155800.0
CUB,SP.POP.TOTL,Cuba,"Population, total",11285775.0,11275065.0,11265612.0,11247829.0,11227118.0,11202846.0,11176354.0,11122168.0,11059820.0,11019931.0
HRV,SP.POP.TOTL,Croatia,"Population, total",4201598.0,4151725.0,4106867.0,4041407.0,3988775.0,3949390.0,3914206.0,3878981.0,3855641.0,3859686.0
CIV,SP.POP.TOTL,Cote d'Ivoire,"Population, total",24527395.0,25246342.0,25989405.0,26733372.0,27464173.0,28193009.0,28915449.0,29639736.0,30395002.0,31165654.0
CRI,SP.POP.TOTL,Costa Rica,"Population, total",4767119.0,4818038.0,4866998.0,4913177.0,4957818.0,4999553.0,5034320.0,5059988.0,5081765.0,5105525.0
COG,SP.POP.TOTL,"Congo, Rep.","Population, total",4975880.0,5097581.0,5222536.0,5351011.0,5483118.0,5616661.0,5752791.0,5892183.0,6035104.0,6182885.0
COD,SP.POP.TOTL,"Congo, Dem. Rep.","Population, total",78403242.0,81035531.0,83956415.0,87083398.0,90047644.0,92947442.0,95989998.0,99148932.0,102396968.0,105789731.0
COM,SP.POP.TOTL,Comoros,"Population, total",711503.0,726682.0,741741.0,756669.0,771590.0,786578.0,802163.0,818174.0,834188.0,850387.0
COL,SP.POP.TOTL,Colombia,"Population, total",46565429.0,46969940.0,47437512.0,48131078.0,49024465.0,49907985.0,50629997.0,51188173.0,51737944.0,52321152.0
CHN,SP.POP.TOTL,China,"Population, total",1371860000.0,1379860000.0,1387790000.0,1396215000.0,1402760000.0,1407745000.0,1411100000.0,1412360000.0,1412175000.0,1410710000.0
CHL,SP.POP.TOTL,Chile,"Population, total",17864195.0,18047625.0,18267221.0,18558868.0,18893191.0,19197744.0,19370624.0,19456334.0,19553036.0,19658835.0
CHI,SP.POP.TOTL,Channel Islands,"Population, total",162726.0,163454.0,163883.0,164319.0,164949.0,165639.0,166235.0,166741.0,167215.0,167691.0
TCD,SP.POP.TOTL,Chad,"Population, total",14188678.0,14647621.0,15114655.0,15622759.0,16156531.0,16685223.0,17224679.0,17828273.0,18455316.0,19319064.0
CAF,SP.POP.TOTL,Central African Republic,"Population, total",4623182.0,4629320.0,4713663.0,4793511.0,4878657.0,4944703.0,5026628.0,5112100.0,5098039.0,5152421.0
CYM,SP.POP.TOTL,Cayman Islands,"Population, total",60160.0,61642.0,63100.0,64535.0,65941.0,67327.0,68684.0,70108.0,71591.0,73038.0
CAN,SP.POP.TOTL,Canada,"Population, total",35434066.0,35704498.0,36110803.0,36545075.0,37072620.0,37618495.0,38028638.0,38239864.0,38935934.0,40083484.0
CMR,SP.POP.TOTL,Cameroon,"Population, total",22059893.0,22763414.0,23454161.0,24128601.0,24806383.0,25506095.0,26210558.0,26915758.0,27632771.0,28372687.0
KHM,SP.POP.TOTL,Cambodia,"Population, total",15396772.0,15623251.0,15852803.0,16073372.0,16274522.0,16481304.0,16725474.0,16974305.0,17201724.0,17423880.0
CPV,SP.POP.TOTL,Cabo Verde,"Population, total",512326.0,512394.0,512554.0,512893.0,513415.0,514104.0,514679.0,516649.0,519741.0,522331.0
BDI,SP.POP.TOTL,Burundi,"Population, total",10799785.0,11047580.0,11239451.0,11506762.0,11859446.0,12255336.0,12617036.0,12965481.0,13321097.0,13689450.0
BFA,SP.POP.TOTL,Burkina Faso,"Population, total",18229461.0,18777487.0,19334856.0,19894407.0,20438288.0,20961952.0,21478690.0,21995243.0,22509038.0,23025776.0
BGR,SP.POP.TOTL,Bulgaria,"Population, total",7073572.0,6984225.0,6894139.0,6803468.0,6710798.0,6616726.0,6550696.0,6507301.0,6465097.0,6446596.0
BRN,SP.POP.TOTL,Brunei Darussalam,"Population, total",416750.0,422212.0,427564.0,432772.0,437810.0,442680.0,447404.0,451721.0,455370.0,458949.0
VGB,SP.POP.TOTL,British Virgin Islands,"Population, total",32962.0,34498.0,33878.0,32699.0,34657.0,36395.0,37135.0,37809.0,38319.0,38985.0
BRA,SP.POP.TOTL,Brazil,"Population, total",200085127.0,201675532.0,203218114.0,204703445.0,206107261.0,207455459.0,208660842.0,209550294.0,210306415.0,211140729.0
BWA,SP.POP.TOTL,Botswana,"Population, total",2172044.0,2203273.0,2234776.0,2266747.0,2299141.0,2332083.0,2365894.0,2401441.0,2439892.0,2480244.0
BIH,SP.POP.TOTL,Bosnia and Herzegovina,"Population, total",3564829.0,3518541.0,3473003.0,3428682.0,3387000.0,3345533.0,3299349.0,3244907.0,3204802.0,3185073.0
BOL,SP.POP.TOTL,Bolivia,"Population, total",10848888.0,11014705.0,11180020.0,11344587.0,11508368.0,11671386.0,11816299.0,11937360.0,12077154.0,12244159.0
BTN,SP.POP.TOTL,Bhutan,"Population, total",733139.0,740618.0,747866.0,754335.0,759759.0,764824.0,770006.0,775442.0,780914.0,786385.0
BMU,SP.POP.TOTL,Bermuda,"Population, total",63529.0,63464.0,63449.0,63578.0,63831.0,64107.0,64382.0,64648.0,64749.0,64698.0
BEN,SP.POP.TOTL,Benin,"Population, total",11030004.0,11360681.0,11697842.0,12039780.0,12383347.0,12726755.0,13070169.0,13413417.0,13759501.0,14111034.0
BLZ,SP.POP.TOTL,Belize,"Population, total",348923.0,356333.0,364705.0,373202.0,380226.0,385829.0,390812.0,395346.0,402733.0,411106.0
BEL,SP.POP.TOTL,Belgium,"Population, total",11209057.0,11274196.0,11331422.0,11375158.0,11427054.0,11488980.0,11538604.0,11586195.0,11680210.0,11787423.0
BLR,SP.POP.TOTL,Belarus,"Population, total",9448515.0,9461076.0,9469379.0,9458989.0,9438785.0,9419758.0,9379952.0,9302585.0,9228071.0,9178298.0
BRB,SP.POP.TOTL,Barbados,"Population, total",278348.0,278990.0,279598.0,280171.0,280711.0,281207.0,281698.0,282147.0,282318.0,282336.0
BGD,SP.POP.TOTL,Bangladesh,"Population, total",157964929.0,159383179.0,160811932.0,162186147.0,163523103.0,164913055.0,166298024.0,167658854.0,169384897.0,171466990.0
BHR,SP.POP.TOTL,Bahrain,"Population, total",1314562.0,1370322.0,1423726.0,1501116.0,1503091.0,1483756.0,1472204.0,1504365.0,1524693.0,1577059.0
BHS,SP.POP.TOTL,"Bahamas, The","Population, total",382298.0,385346.0,388055.0,390485.0,392717.0,394675.0,395863.0,396373.0,397538.0,399440.0
AZE,SP.POP.TOTL,Azerbaijan,"Population, total",9535079.0,9649341.0,9757812.0,9854033.0,9939771.0,10024283.0,10093121.0,10137750.0,10141756.0,10153958.0
AUT,SP.POP.TOTL,Austria,"Population, total",8546356.0,8642699.0,8736668.0,8797566.0,8840521.0,8879920.0,8916864.0,8955797.0,9041851.0,9131761.0
AUS,SP.POP.TOTL,Australia,"Population, total",23475686.0,23815995.0,24190907.0,24592588.0,24963258.0,25334826.0,25649248.0,25685412.0,26014399.0,26652777.0
ABW,SP.POP.TOTL,Aruba,"Population, total",106807.0,107906.0,108727.0,108735.0,108908.0,109203.0,108587.0,107700.0,107310.0,107359.0
ARM,SP.POP.TOTL,Armenia,"Population, total",3013800.0,3004600.0,2992300.0,2979400.0,2969000.0,2962500.0,2961500.0,2962300.0,2969200.0,2964300.0
ARG,SP.POP.TOTL,Argentina,"Population, total",43024071.0,43477012.0,43900313.0,44288894.0,44654882.0,44973465.0,45191965.0,45312281.0,45407904.0,45538401.0
ATG,SP.POP.TOTL,Antigua and Barbuda,"Population, total",88765.0,89409.0,89969.0,90468.0,90926.0,91364.0,91846.0,92349.0,92840.0,93316.0
AGO,SP.POP.TOTL,Angola,"Population, total",27160769.0,28157798.0,29183070.0,30234839.0,31297155.0,32375632.0,33451132.0,34532429.0,35635029.0,36749906.0
AND,SP.POP.TOTL,Andorra,"Population, total",73737.0,72174.0,72181.0,73763.0,75162.0,76474.0,77380.0,78364.0,79705.0,80856.0
ASM,SP.POP.TOTL,American Samoa,"Population, total",53466.0,52878.0,52245.0,51586.0,50908.0,50209.0,49761.0,49225.0,48342.0,47521.0
DZA,SP.POP.TOTL,Algeria,"Population, total",39205031.0,40019529.0,40850721.0,41689299.0,42505035.0,43294546.0,44042091.0,44761099.0,45477389.0,46164219.0
ALB,SP.POP.TOTL,Albania,"Population, total",2889104.0,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,2837849.0,2811666.0,2777689.0,2745972.0
AFG,SP.POP.TOTL,Afghanistan,"Population, total",32792523.0,33831764.0,34700612.0,35688935.0,36743039.0,37856121.0,39068979.0,40000412.0,40578842.0,41454761.0
ZWE,IQ.CPA.PROP.XQ,Zimbabwe,CPIA property rights and rule-based governance rating (1=low to 6=high),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ZMB,IQ.CPA.PROP.XQ,Zambia,CPIA property rights and rule-based governance rating (1=low to 6=high),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
YEM,IQ.CPA.PROP.XQ,"Yemen, Rep.",CPIA property rights and rule-based governance rating (1=low to 6=high),2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5
PSE,IQ.CPA.PROP.XQ,West Bank and Gaza,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
VIR,IQ.CPA.PROP.XQ,Virgin Islands (U.S.),CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
VNM,IQ.CPA.PROP.XQ,Viet Nam,CPIA property rights and rule-based governance rating (1=low to 6=high),3.5,3.5,,,,,,,,
VEN,IQ.CPA.PROP.XQ,"Venezuela, RB",CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
VUT,IQ.CPA.PROP.XQ,Vanuatu,CPIA property rights and rule-based governance rating (1=low to 6=high),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
UZB,IQ.CPA.PROP.XQ,Uzbekistan,CPIA property rights and rule-based governance rating (1=low to 6=high),2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5
URY,IQ.CPA.PROP.XQ,Uruguay,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
USA,IQ.CPA.PROP.XQ,United States,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
GBR,IQ.CPA.PROP.XQ,United Kingdom,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
ARE,IQ.CPA.PROP.XQ,United Arab Emirates,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
UKR,IQ.CPA.PROP.XQ,Ukraine,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
UGA,IQ.CPA.PROP.XQ,Uganda,CPIA property rights and rule-based governance rating (1=low to 6=high),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
TUV,IQ.CPA.PROP.XQ,Tuvalu,CPIA property rights and rule-based governance rating (1=low to 6=high),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.0
TCA,IQ.CPA.PROP.XQ,Turks and Caicos Islands,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
TKM,IQ.CPA.PROP.XQ,Turkmenistan,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
TUR,IQ.CPA.PROP.XQ,Turkiye,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
TUN,IQ.CPA.PROP.XQ,Tunisia,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
TTO,IQ.CPA.PROP.XQ,Trinidad and Tobago,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
TON,IQ.CPA.PROP.XQ,Tonga,CPIA property rights and rule-based governance rating (1=low to 6=high),4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
TGO,IQ.CPA.PROP.XQ,Togo,CPIA property rights and rule-based governance rating (1=low to 6=high),2.5,2.5,2.5,2.5,3.0,3.0,3.5,3.5,3.5,3.5
TLS,IQ.CPA.PROP.XQ,Timor-Leste,CPIA property rights and rule-based governance rating (1=low to 6=high),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5
THA,IQ.CPA.PROP.XQ,Thailand,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
TZA,IQ.CPA.PROP.XQ,Tanzania,CPIA property rights and rule-based governance rating (1=low to 6=high),3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.0
TJK,IQ.CPA.PROP.XQ,Tajikistan,CPIA property rights and rule-based governance rating (1=low to 6=high),2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
SYR,IQ.CPA.PROP.XQ,Syrian Arab Republic,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
CHE,IQ.CPA.PROP.XQ,Switzerland,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
SWE,IQ.CPA.PROP.XQ,Sweden,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
SUR,IQ.CPA.PROP.XQ,Suriname,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
SDN,IQ.CPA.PROP.XQ,Sudan,CPIA property rights and rule-based governance rating (1=low to 6=high),2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5
VCT,IQ.CPA.PROP.XQ,St. Vincent and the Grenadines,CPIA property rights and rule-based governance rating (1=low to 6=high),4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
MAF,IQ.CPA.PROP.XQ,St. Martin (French part),CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
LCA,IQ.CPA.PROP.XQ,St. Lucia,CPIA property rights and rule-based governance rating (1=low to 6=high),4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
KNA,IQ.CPA.PROP.XQ,St. Kitts and Nevis,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
LKA,IQ.CPA.PROP.XQ,Sri Lanka,CPIA property rights and rule-based governance rating (1=low to 6=high),3.0,3.5,,,,3.0,,,3.0,3.0
ESP,IQ.CPA.PROP.XQ,Spain,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
SSD,IQ.CPA.PROP.XQ,South Sudan,CPIA property rights and rule-based governance rating (1=low to 6=high),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
ZAF,IQ.CPA.PROP.XQ,South Africa,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
SOM,IQ.CPA.PROP.XQ,"Somalia, Fed. Rep.",CPIA property rights and rule-based governance rating (1=low to 6=high),,,,1.0,,1.0,1.0,1.0,1.0,1.0
SLB,IQ.CPA.PROP.XQ,Solomon Islands,CPIA property rights and rule-based governance rating (1=low to 6=high),3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0
SVN,IQ.CPA.PROP.XQ,Slovenia,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
SVK,IQ.CPA.PROP.XQ,Slovak Republic,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
SXM,IQ.CPA.PROP.XQ,Sint Maarten (Dutch part),CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
SGP,IQ.CPA.PROP.XQ,Singapore,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
SLE,IQ.CPA.PROP.XQ,Sierra Leone,CPIA property rights and rule-based governance rating (1=low to 6=high),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
SYC,IQ.CPA.PROP.XQ,Seychelles,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
SRB,IQ.CPA.PROP.XQ,Serbia,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
SEN,IQ.CPA.PROP.XQ,Senegal,CPIA property rights and rule-based governance rating (1=low to 6=high),3.5,3.5,4.0,4.0,3.5,3.5,3.5,3.5,3.5,3.5
SAU,IQ.CPA.PROP.XQ,Saudi Arabia,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
STP,IQ.CPA.PROP.XQ,Sao Tome and Principe,CPIA property rights and rule-based governance rating (1=low to 6=high),2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
SMR,IQ.CPA.PROP.XQ,San Marino,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
WSM,IQ.CPA.PROP.XQ,Samoa,CPIA property rights and rule-based governance rating (1=low to 6=high),4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0
RWA,IQ.CPA.PROP.XQ,Rwanda,CPIA property rights and rule-based governance rating (1=low to 6=high),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
RUS,IQ.CPA.PROP.XQ,Russian Federation,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
ROU,IQ.CPA.PROP.XQ,Romania,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
QAT,IQ.CPA.PROP.XQ,Qatar,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
PRI,IQ.CPA.PROP.XQ,Puerto Rico (US),CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
PRT,IQ.CPA.PROP.XQ,Portugal,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
POL,IQ.CPA.PROP.XQ,Poland,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
PHL,IQ.CPA.PROP.XQ,Philippines,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
PER,IQ.CPA.PROP.XQ,Peru,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
PRY,IQ.CPA.PROP.XQ,Paraguay,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
PNG,IQ.CPA.PROP.XQ,Papua New Guinea,CPIA property rights and rule-based governance rating (1=low to 6=high),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5
PAN,IQ.CPA.PROP.XQ,Panama,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
PLW,IQ.CPA.PROP.XQ,Palau,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
PAK,IQ.CPA.PROP.XQ,Pakistan,CPIA property rights and rule-based governance rating (1=low to 6=high),2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0,2.5,2.5
OMN,IQ.CPA.PROP.XQ,Oman,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
NOR,IQ.CPA.PROP.XQ,Norway,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
MNP,IQ.CPA.PROP.XQ,Northern Mariana Islands,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
MKD,IQ.CPA.PROP.XQ,North Macedonia,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
NGA,IQ.CPA.PROP.XQ,Nigeria,CPIA property rights and rule-based governance rating (1=low to 6=high),2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
NER,IQ.CPA.PROP.XQ,Niger,CPIA property rights and rule-based governance rating (1=low to 6=high),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
NIC,IQ.CPA.PROP.XQ,Nicaragua,CPIA property rights and rule-based governance rating (1=low to 6=high),3.0,3.0,3.0,3.0,2.5,2.5,2.0,2.0,2.0,1.5
NZL,IQ.CPA.PROP.XQ,New Zealand,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
NCL,IQ.CPA.PROP.XQ,New Caledonia,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
NLD,IQ.CPA.PROP.XQ,Netherlands,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
NPL,IQ.CPA.PROP.XQ,Nepal,CPIA property rights and rule-based governance rating (1=low to 6=high),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
NRU,IQ.CPA.PROP.XQ,Nauru,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
NAM,IQ.CPA.PROP.XQ,Namibia,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
MMR,IQ.CPA.PROP.XQ,Myanmar,CPIA property rights and rule-based governance rating (1=low to 6=high),2.5,2.5,2.5,2.5,2.0,2.0,2.0,1.0,1.0,1.0
MOZ,IQ.CPA.PROP.XQ,Mozambique,CPIA property rights and rule-based governance rating (1=low to 6=high),2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
MAR,IQ.CPA.PROP.XQ,Morocco,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
MNE,IQ.CPA.PROP.XQ,Montenegro,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
MNG,IQ.CPA.PROP.XQ,Mongolia,CPIA property rights and rule-based governance rating (1=low to 6=high),3.0,3.0,3.0,3.0,3.0,3.0,,,,
MCO,IQ.CPA.PROP.XQ,Monaco,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
MDA,IQ.CPA.PROP.XQ,Moldova,CPIA property rights and rule-based governance rating (1=low to 6=high),3.5,3.5,3.5,3.5,3.5,3.5,,,,
FSM,IQ.CPA.PROP.XQ,"Micronesia, Fed. Sts.",CPIA property rights and rule-based governance rating (1=low to 6=high),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5
MEX,IQ.CPA.PROP.XQ,Mexico,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
MUS,IQ.CPA.PROP.XQ,Mauritius,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
MRT,IQ.CPA.PROP.XQ,Mauritania,CPIA property rights and rule-based governance rating (1=low to 6=high),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
MHL,IQ.CPA.PROP.XQ,Marshall Islands,CPIA property rights and rule-based governance rating (1=low to 6=high),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
MLT,IQ.CPA.PROP.XQ,Malta,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
MLI,IQ.CPA.PROP.XQ,Mali,CPIA property rights and rule-based governance rating (1=low to 6=high),2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.0
MDV,IQ.CPA.PROP.XQ,Maldives,CPIA property rights and rule-based governance rating (1=low to 6=high),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
MYS,IQ.CPA.PROP.XQ,Malaysia,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
MWI,IQ.CPA.PROP.XQ,Malawi,CPIA property rights and rule-based governance rating (1=low to 6=high),3.5,3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.5
MDG,IQ.CPA.PROP.XQ,Madagascar,CPIA property rights and rule-based governance rating (1=low to 6=high),2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
MAC,IQ.CPA.PROP.XQ,"Macao SAR, China",CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
LUX,IQ.CPA.PROP.XQ,Luxembourg,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
LTU,IQ.CPA.PROP.XQ,Lithuania,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
LIE,IQ.CPA.PROP.XQ,Liechtenstein,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
LBY,IQ.CPA.PROP.XQ,Libya,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
LBR,IQ.CPA.PROP.XQ,Liberia,CPIA property rights and rule-based governance rating (1=low to 6=high),2.5,2.5,2.5,2.5,2.0,2.5,2.5,2.5,2.5,2.5
LSO,IQ.CPA.PROP.XQ,Lesotho,CPIA property rights and rule-based governance rating (1=low to 6=high),3.5,3.5,3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.0
LBN,IQ.CPA.PROP.XQ,Lebanon,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
LVA,IQ.CPA.PROP.XQ,Latvia,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
LAO,IQ.CPA.PROP.XQ,Lao PDR,CPIA property rights and rule-based governance rating (1=low to 6=high),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
KGZ,IQ.CPA.PROP.XQ,Kyrgyz Republic,CPIA property rights and rule-based governance rating (1=low to 6=high),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
KWT,IQ.CPA.PROP.XQ,Kuwait,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
XKX,IQ.CPA.PROP.XQ,Kosovo,CPIA property rights and rule-based governance rating (1=low to 6=high),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
KOR,IQ.CPA.PROP.XQ,"Korea, Rep.",CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
PRK,IQ.CPA.PROP.XQ,"Korea, Dem. People's Rep.",CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
KIR,IQ.CPA.PROP.XQ,Kiribati,CPIA property rights and rule-based governance rating (1=low to 6=high),3.5,3.5,3.5,3.5,3.5,4.0,4.0,4.0,3.5,3.5
KEN,IQ.CPA.PROP.XQ,Kenya,CPIA property rights and rule-based governance rating (1=low to 6=high),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5
KAZ,IQ.CPA.PROP.XQ,Kazakhstan,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
JOR,IQ.CPA.PROP.XQ,Jordan,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
JPN,IQ.CPA.PROP.XQ,Japan,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
JAM,IQ.CPA.PROP.XQ,Jamaica,CPIA property rights and rule-based governance rating (1=low to 6=high),,,,,,,,,,
